q,1,q2,q3,q4,q5,
Horodateur,Trouvez vous intéressant de pouvoir visualiser rapidement les résultats de votre test pour comprendre la performance que vous avez réalisé ?,"Avez-vous trouvé les résultats affichés clairs et faciles à comprendre ? Si non, quels aspects vous ont posés problème ? ",À quel point êtes vous confiant dans la précision des résultats affichés,Comment évalueriez-vous l’esthétique visuelle de l’interface ?,Les informations fournies par les résultats affichés vous ont-elles semblées complètes ? Si non que manquait il ?
10/03/2024 23:45:34,Indifférent,,Ni confiant.e ni sceptique,Indifférent,
11/03/2024 09:32:04,Très intéressant,,Ni confiant.e ni sceptique,Plutôt agréable,Hzzj
11/03/2024 10:53:37,Plutôt intéressant,Oui,Ni confiant.e ni sceptique,Plutôt agréable,Oui
11/03/2024 10:55:26,Très intéressant,Oui très claire ,Très confiant.e,Plutôt agréable,Oui 
11/03/2024 11:27:25,Plutôt intéressant,Oui,Ni confiant.e ni sceptique,Plutôt agréable,Bien 
11/03/2024 11:51:57,Très intéressant,Tres bien ,Plutôt confiant.e,Très agréable,
11/03/2024 12:07:59,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Oui
11/03/2024 12:19:55,Plutôt intéressant,"Plutôt, je me demande si le choix de couleur ne pourrait pas être amélioré. Peut être mettre un point rouge pour voir sa performance plutôt qu’une barre verticale",Très confiant.e,Plutôt agréable,"Les performances des meilleurs athlètes pourraient être un plus, même si je suis déjà un athlète élite "
11/03/2024 12:22:35,Très intéressant,Oui,Plutôt confiant.e,Indifférent,Oui
11/03/2024 12:24:46,Très intéressant,,Plutôt confiant.e,Indifférent,
11/03/2024 12:30:48,Très intéressant,Assez clairs mais je pense que ça ne l'est pas assez pour une personne n'y connaissant rien.,Plutôt confiant.e,Plutôt désagréable,Je n'ai pas pris assez analysé l'interface pour vous répondre 
11/03/2024 13:10:53,Très intéressant,"Clairs. Peut etre les mettre davanrage en contexte, yc visuellement (par rapport a la moyenne, par rapport a des pros,...)",Très confiant.e,Plutôt agréable,
11/03/2024 13:22:19,Très intéressant,Au top !,Plutôt confiant.e,Plutôt agréable,
11/03/2024 13:51:22,Plutôt intéressant,Oui c’est clair,Ni confiant.e ni sceptique,Plutôt agréable,Oui
11/03/2024 13:51:57,Plutôt intéressant,Oui,Peu confiant.e,"Très agréable, Plutôt agréable",Oui
11/03/2024 14:19:04,Très intéressant,Mes résultats sont clairs. Les résultats des autres participants sont un peu moins visibles intuitivement ,Plutôt confiant.e,Indifférent,Les informations me semblent complètes. Il serait peut-être plus amusant d'avoir un peu plus de données sur les résultats des autres participants.
11/03/2024 14:31:32,Très intéressant,Avec les explications qui accompagnent ça me parait plutôt clair. Enbterme de lisibilité faire ressortir notre record (rouge par exemple),Plutôt confiant.e,Plutôt agréable,Distinguer homme/femme 
11/03/2024 14:44:46,Très intéressant,Oui ,Rajouter une méthode de qualité IC,Plutôt agréable,Oui
11/03/2024 14:58:28,Très intéressant,oui,Très confiant.e,Indifférent,
11/03/2024 15:23:10,Plutôt intéressant,Facile,Plutôt confiant.e,Plutôt agréable,Plutôt complète 
11/03/2024 15:29:46,Très intéressant,Oui,Plutôt confiant.e,Plutôt agréable,
11/03/2024 15:41:30,Très intéressant,Les diagrammes sont un peu compliqué a comprendre au premier abord ,Très confiant.e,Plutôt agréable,Oui
11/03/2024 15:59:03,Très intéressant,,Très confiant.e,Plutôt agréable,Oui 
11/03/2024 16:16:48,Plutôt intéressant,"I would have liked to see presented in large the key data point: the height of my jump. The additional data could be displayed smaller, nearby.",Plutôt confiant.e,Indifférent,"I didn't have a chance to see all the presented data, but it seemed very complete, with many different aspects of my jump captured and quantified."
11/03/2024 16:23:14,Très intéressant,Bien expliqué avec le tapping plus difficile a comprendre a cause des pourcentages peu clair mais qui peuvent être expliqué par un coach,Très confiant.e,Plutôt agréable,Oui très complète sur la recherche 
11/03/2024 16:26:24,Très intéressant,Oui,Très confiant.e,Très agréable,Au top
11/03/2024 16:40:08,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Une personnalisation 
11/03/2024 16:42:14,Très intéressant,"Oui c'était bien mais c'est peut être mieux de ne pas superposer les scores et moyennes, plutôt avoir des barres séparées",Plutôt confiant.e,Indifférent,Oui c'est carré
11/03/2024 16:53:13,Très intéressant,Oui,Ni confiant.e ni sceptique,Plutôt agréable,"Non, pas de pied droit "
12/03/2024 09:35:01,Très intéressant,Oui,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 09:47:05,Très intéressant,Oui,Très confiant.e,Indifférent,Oui
12/03/2024 09:57:34,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Différenciation homme femme
12/03/2024 10:34:08,Très intéressant,Tres clair,Très confiant.e,Plutôt agréable,Super Nour est beau
12/03/2024 10:58:52,Très intéressant,"Très bien, peut être différencier par type de population (âge, sexe)",Plutôt confiant.e,Indifférent,"Âge, peut être aussi l’activité physique (si la personne se considère active dans sa vie de tout les jours ou pas), peut être la taille aussi"
12/03/2024 12:17:31,,,Plutôt confiant.e,Plutôt agréable,
12/03/2024 13:05:01,Très intéressant,Oui très clairs,Très confiant.e,Plutôt agréable,Oui
12/03/2024 13:06:39,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Oui
12/03/2024 14:07:05,Très intéressant,"Oui, mais beaucoup d'info",Très confiant.e,Plutôt agréable,
12/03/2024 14:13:12,Très intéressant,Oui,Plutôt confiant.e,Indifférent,Rien de spécial 
12/03/2024 14:47:20,Très intéressant,Oui ,Plutôt confiant.e,"Très agréable, Plutôt agréable",Très bien
12/03/2024 14:47:32,Très intéressant,Oui,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 15:06:42,Très intéressant,Oui,Plutôt confiant.e,Plutôt désagréable,Le temps de saut :)
12/03/2024 15:12:40,Plutôt intéressant,Oui,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 15:34:57,Très intéressant,Oui assez faciles,Plutôt confiant.e,Plutôt agréable,Oui
12/03/2024 15:42:04,Très intéressant,Oui,Très confiant.e,Plutôt agréable,Peut-être être faire une équivalence entre la hauteur sautée et un objet de la vie courante pour rendre l’exercice encore plus ludique 
12/03/2024 16:00:17,Très intéressant,Oui !,Très confiant.e,Plutôt agréable,
12/03/2024 16:19:22,Très intéressant,,Très confiant.e,Plutôt agréable,