Horodateur,Trouvez vous intéressant de pouvoir visualiser rapidement les résultats de votre test pour comprendre la performance que vous avez réalisé ?,"Avez-vous trouvé les résultats affichés clairs et faciles à comprendre ? Si non, quels aspects vous ont posés problème ? ",À quel point êtes vous confiant dans la précision des résultats affichés,Comment évalueriez-vous l’esthétique visuelle de l’interface ?,Les informations fournies par les résultats affichés vous ont-elles semblées complètes ? Si non que manquait il ?
25/03/2024 09:51:18,Très intéressant,,10,Très agréable,
25/03/2024 11:06:40,Très intéressant,Très facile à comprendre,8,Plutôt agréable,Oui complète 
25/03/2024 11:09:46,Très intéressant,Oui ,10,Plutôt agréable,Oui
25/03/2024 11:27:21,Très intéressant,Je ucun problème ,10,Très agréable,Pas mal
25/03/2024 11:40:42,Très intéressant,Facile à comprendre,8,Plutôt agréable,Assez complets
25/03/2024 11:40:43,Très intéressant,,9,Très agréable,
25/03/2024 11:40:54,Très intéressant,oui,9,Plutôt agréable,
25/03/2024 11:42:14,Plutôt intéressant,Oui,9,Plutôt agréable,Oui
25/03/2024 12:04:04,Très intéressant,Très clair ,9,Plutôt agréable,Assez complètes 
25/03/2024 15:14:00,Très intéressant,Très facile a comprendre surtout avec les explications très détaillées de Nour ,10,Très agréable,"Très complète, rien ne manquait Nour était là"
25/03/2024 15:59:39,Très intéressant,A la fois simple avant du détaille,9,Plutôt agréable,Ras
25/03/2024 16:23:21,Plutôt intéressant,,8,Indifférent,
25/03/2024 16:34:30,Très intéressant,oui,10,Très agréable,oui
25/03/2024 16:36:24,Très intéressant,Les résultats affichés étaient très clairs ,10,Plutôt agréable,Les informations étaient complètes 
25/03/2024 16:37:08,Très intéressant,Oui,10,Très agréable,
25/03/2024 16:38:09,Très intéressant,Oui,8,Plutôt agréable,Oui
25/03/2024 16:59:05,Très intéressant,Oui,10,Plutôt agréable,Oui
26/03/2024 09:45:29,Très intéressant,Oui,10,Plutôt agréable,Oui
26/03/2024 10:44:28,Très intéressant,"Oui, l’application est assez intuitive. On s’y retrouve même sans la manipuler ",10,Plutôt agréable,
26/03/2024 11:11:23,Très intéressant,Oui,7,Plutôt agréable,Oui
26/03/2024 12:21:29,Très intéressant,Les résultats sont clairs ,9,Plutôt agréable,Peut-être une indication sur le temps total utilisé pour les 3 sauts ?
26/03/2024 13:13:28,Très intéressant,Oui,7,Plutôt agréable,
26/03/2024 13:51:32,Plutôt intéressant,Oui,10,Indifférent,Évolution des résultats d'une personne en fonction du temps
26/03/2024 13:53:16,Très intéressant,Tout est clair et simple,10,Plutôt agréable,Oui
26/03/2024 14:01:43,Très intéressant,Oui,8,Indifférent,Tout est bon
26/03/2024 14:10:21,Plutôt intéressant,,10,Très agréable,
26/03/2024 14:33:42,Très intéressant,,7,Indifférent,
26/03/2024 15:21:58,Très intéressant,Au moment de l'activité on voit le comparatif entre chaque saut mais le résultat n'est pas très lisible ,9,Plutôt désagréable,A la fin tout était correct 
27/03/2024 09:28:41,Très intéressant,Oui,10,Très agréable,Oui
27/03/2024 09:32:42,Très intéressant,Sa permet de savoir à combien je saute et c’est style,10,Très agréable,
27/03/2024 09:35:23,Très intéressant,Aucun ,10,Indifférent,Rien du tout 
27/03/2024 10:46:17,Plutôt intéressant,Oui,4,Plutôt agréable,
27/03/2024 11:18:54,Très intéressant,Oui,10,Très agréable,
27/03/2024 11:42:23,Très intéressant,,10,Très agréable,
27/03/2024 11:42:55,Indifférent,,0,Très agréable,
27/03/2024 11:43:26,Très intéressant,Oui c’est compréhensible ,9,Plutôt agréable,Des femmes tres dommages 
27/03/2024 11:50:02,Très intéressant,,10,Très agréable,
27/03/2024 11:55:00,Très intéressant,,8,Plutôt agréable,La variation sur les resultats
27/03/2024 11:59:19,Très intéressant,Oui,10,Très agréable,Oui
27/03/2024 11:59:20,Très intéressant,Oui,8,Plutôt agréable,Oui
27/03/2024 11:59:26,Très intéressant,Oui,8,Plutôt agréable,Oui
27/03/2024 12:00:34,Très intéressant,Oui,10,Très agréable,Complète 
27/03/2024 12:04:55,Très intéressant,,9,Très agréable,
27/03/2024 15:29:54,Très intéressant,Oui,9,Plutôt agréable,
27/03/2024 15:37:41,Très intéressant,Oui,10,Très agréable,
27/03/2024 16:01:35,Très intéressant,"Oui très clair, et très facile",9,Plutôt agréable,Oui très complètes 
27/03/2024 16:01:59,Plutôt intéressant,Oui,8,Indifférent,Oui
28/03/2024 09:58:15,Très intéressant,Oui,10,Plutôt agréable,Oui elles le sont
28/03/2024 10:03:22,Plutôt intéressant,,10,Plutôt agréable,
28/03/2024 11:26:42,Plutôt intéressant,,8,Très agréable,
28/03/2024 11:29:50,Plutôt intéressant,Oui,5,Plutôt agréable,Oui
28/03/2024 11:35:13,Très intéressant,Oui,9,Plutôt agréable,N’a
28/03/2024 11:42:17,Très intéressant,,8,Très agréable,l'equilibre a l'aterisage 